Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,All_NBA_Pos,Win_Prop
Jrue Holiday,SG,29,NOP,55,55,1922,10.1,22.4,0.452,2.8,7.7,0.35700000000000004,7.4,14.6,0.502,2.9,4.1,0.7,1.7,4.8,6.4,9.1,2.2,1.1,3.8,3.0,25.9,109.0,111,Guard,0.028836251287332648
Justin Holiday,SG,30,IND,65,2,1617,5.7,13.0,0.44,3.7,8.7,0.424,2.0,4.3,0.47200000000000003,1.4,1.8,0.78,0.9,5.3,6.2,2.6,2.3,1.3,1.2,3.6,16.5,116.0,108,Guard,0.04016477857878476
Rondae Hollis-Jefferson,SF,25,TOR,52,5,998,6.6,14.1,0.47100000000000003,0.1,0.8,0.11800000000000001,6.6,13.3,0.493,4.5,6.2,0.736,4.9,7.3,12.1,4.3,2.1,1.1,2.3,5.0,17.9,115.0,104,Forward,0.04737384140061792
Richaun Holmes,C,26,SAC,39,33,1125,9.1,13.9,0.654,0.0,0.0,0.0,9.1,13.9,0.654,3.5,4.3,0.8,5.1,9.0,14.1,1.7,1.7,2.4,2.1,6.6,21.7,131.0,108,Center,0.028836251287332648
Rodney Hood,SF,27,POR,21,21,619,6.7,13.2,0.506,2.7,5.5,0.493,4.0,7.8,0.515,1.6,2.1,0.778,0.8,4.8,5.5,2.5,1.3,0.3,1.5,3.5,17.7,121.0,117,Forward,0.029866117404737384
Al Horford,C,33,PHI,60,57,1848,7.6,17.2,0.442,2.3,6.9,0.337,5.3,10.3,0.513,1.4,1.9,0.753,2.4,8.4,10.8,6.4,1.4,1.4,1.7,3.4,19.0,114.0,108,Center,0.04016477857878476
Talen Horton-Tucker,SG,19,LAL,2,0,5,0.0,9.5,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.5,0.0,0.0,0.0,0.0,93.0,94,Guard,0.05046343975283213
Danuel House,SF,26,HOU,58,47,1739,5.5,12.9,0.42700000000000005,3.0,8.3,0.363,2.5,4.6,0.544,1.8,2.3,0.8,1.5,5.1,6.6,2.1,1.7,0.9,1.3,3.2,15.8,116.0,111,Forward,0.0411946446961895
Dwight Howard,C,34,LAL,62,2,1193,7.5,10.3,0.732,0.1,0.2,0.6,7.4,10.1,0.7340000000000001,3.5,7.2,0.494,6.2,12.0,18.2,1.7,1.1,3.0,2.9,8.0,18.7,126.0,102,Center,0.05046343975283213
William Howard,SG,26,HOU,2,0,13,0.0,14.3,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,7.1,3.6,0.0,0.0,3.6,3.6,0.0,14.0,115,Guard,0.0411946446961895
Kevin Huerter,SG,21,ATL,56,48,1760,6.7,16.1,0.413,3.4,8.8,0.38,3.3,7.3,0.45299999999999996,1.4,1.7,0.828,0.9,5.1,6.0,5.6,1.4,0.7,2.3,3.7,18.1,107.0,116,Guard,0.02059732234809475
De'Andre Hunter,SF,22,ATL,63,62,2018,6.5,15.8,0.41,2.5,7.0,0.355,4.0,8.8,0.45399999999999996,2.5,3.3,0.764,1.0,5.6,6.6,2.6,1.0,0.4,2.4,4.2,18.0,100.0,117,Forward,0.02059732234809475
Chandler Hutchison,SF,23,CHI,28,10,527,7.3,16.0,0.457,1.1,3.5,0.316,6.2,12.5,0.496,4.2,7.1,0.59,1.6,8.2,9.9,2.4,2.5,0.6,2.5,4.3,19.9,101.0,108,Forward,0.02265705458290422
Serge Ibaka,C,30,TOR,50,27,1377,11.2,21.6,0.518,2.3,5.8,0.39799999999999996,8.9,15.8,0.562,3.1,4.1,0.748,3.6,10.7,14.3,2.5,0.8,1.5,3.5,4.8,27.8,110.0,104,Center,0.04737384140061792
Andre Iguodala,SG,36,MIA,14,0,259,4.7,9.6,0.49,1.7,4.5,0.375,3.0,5.1,0.593,0.4,1.5,0.25,1.9,8.1,10.0,5.3,1.5,3.0,3.2,5.3,11.5,103.0,106,Guard,0.042224510813594233
Ersan İlyasova,PF,32,MIL,56,8,895,7.0,14.8,0.47200000000000003,2.3,6.3,0.371,4.6,8.5,0.5479999999999999,3.2,3.8,0.8270000000000001,3.1,11.0,14.1,2.4,1.2,0.7,1.7,4.4,19.5,119.0,101,Forward,0.05458290422245108
Joe Ingles,SF,32,UTA,64,37,1916,5.5,12.6,0.441,3.1,7.9,0.397,2.4,4.7,0.516,1.7,2.1,0.774,0.6,5.9,6.5,8.4,1.5,0.2,3.2,3.4,15.9,114.0,111,Forward,0.042224510813594233
Brandon Ingram,PF,22,NOP,56,56,1919,11.3,24.2,0.466,3.3,8.5,0.387,8.0,15.7,0.509,6.8,7.9,0.858,1.2,7.2,8.4,5.8,1.3,0.9,4.2,3.9,32.7,112.0,112,Forward,0.028836251287332648
Kyrie Irving,PG,27,BRK,20,20,658,14.4,30.0,0.478,4.0,10.2,0.39399999999999996,10.3,19.8,0.522,6.8,7.4,0.922,1.6,5.8,7.4,9.2,1.9,0.7,3.7,3.8,39.5,119.0,109,Guard,0.030895983522142123
Jonathan Isaac,SF,22,ORL,32,32,949,7.7,16.6,0.46299999999999997,1.5,4.7,0.33,6.1,11.9,0.515,2.9,3.8,0.767,2.9,8.5,11.4,2.3,2.6,4.0,2.4,4.1,19.8,106.0,102,Forward,0.030895983522142123
Wesley Iwundu,SF,25,ORL,45,18,810,4.6,11.7,0.397,1.3,4.0,0.313,3.4,7.7,0.441,3.7,4.6,0.816,1.4,5.4,6.8,2.8,1.5,0.7,1.1,3.7,14.3,111.0,111,Forward,0.030895983522142123
Frank Jackson,PG,21,NOP,51,1,656,7.0,18.1,0.385,2.7,8.5,0.325,4.2,9.6,0.43799999999999994,3.4,4.5,0.75,1.3,3.7,5.0,2.9,1.1,0.3,3.0,4.7,20.1,97.0,115,Guard,0.028836251287332648
Jaren Jackson Jr.,C,20,MEM,54,54,1512,10.1,21.7,0.46799999999999997,4.2,10.5,0.397,6.0,11.1,0.535,3.8,5.1,0.741,1.6,6.2,7.8,2.3,1.1,2.7,2.9,6.8,28.2,109.0,110,Center,0.032955715756951595
Josh Jackson,SG,22,MEM,18,0,357,8.9,20.3,0.439,3.0,9.4,0.319,5.9,10.9,0.542,3.8,5.8,0.659,1.4,6.1,7.6,4.1,2.4,1.2,3.3,5.1,24.6,102.0,109,Guard,0.032955715756951595
Justin Jackson,PF,24,DAL,58,2,929,6.5,16.2,0.39899999999999997,2.3,7.9,0.298,4.1,8.3,0.494,1.9,2.3,0.818,1.4,6.0,7.4,2.6,0.6,0.5,0.6,3.0,17.1,110.0,114,Forward,0.0411946446961895
Reggie Jackson,PG,29,TOT,23,11,556,9.3,22.4,0.41600000000000004,3.9,9.9,0.39799999999999996,5.4,12.6,0.431,3.1,3.8,0.8140000000000001,1.3,4.5,5.8,8.8,0.9,0.4,3.5,3.5,25.7,109.0,114,Guard,0.03333333333333334
Justin James,SG,23,SAC,34,0,218,7.4,17.5,0.423,2.0,5.8,0.34600000000000003,5.4,11.6,0.462,2.2,4.7,0.47600000000000003,1.3,5.4,6.7,3.6,1.3,2.0,1.8,3.6,19.0,100.0,111,Guard,0.028836251287332648
LeBron James,SF,35,LAL,60,60,2094,13.3,26.7,0.498,3.0,8.7,0.349,10.3,18.1,0.57,5.4,7.8,0.6970000000000001,1.3,9.4,10.7,14.5,1.7,0.7,5.4,2.4,35.1,117.0,105,Forward,0.05046343975283213
Amile Jefferson,PF,26,ORL,18,0,74,3.3,9.2,0.35700000000000004,0.0,0.0,0.0,3.3,9.2,0.35700000000000004,3.3,9.2,0.35700000000000004,6.6,8.6,15.2,2.6,0.7,2.0,2.0,4.6,9.9,94.0,109,Forward,0.030895983522142123
DaQuan Jeffries,SG,22,SAC,6,0,19,7.7,18.0,0.429,2.6,10.3,0.25,5.1,7.7,0.667,0.0,0.0,0.0,2.6,0.0,2.6,2.6,2.6,0.0,0.0,7.7,18.0,114.0,114,Guard,0.028836251287332648
Ty Jerome,PG,22,PHO,28,0,315,5.6,15.9,0.349,2.0,7.1,0.27699999999999997,3.6,8.9,0.40700000000000003,1.7,2.1,0.7859999999999999,0.9,5.3,6.2,6.5,2.1,0.5,2.7,4.2,14.7,93.0,112,Guard,0.026776519052523172
Alize Johnson,SF,23,IND,13,0,54,6.3,13.5,0.467,0.0,0.0,0.0,6.3,13.5,0.467,3.6,5.4,0.667,6.3,9.9,16.2,1.8,0.0,0.0,2.7,5.4,16.2,107.0,111,Forward,0.04016477857878476
