Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,All_NBA_Pos,Win_Prop
KZ Okpala,SF,20,MIA,5,0,26,5.6,9.4,0.6,0.0,1.9,0.0,5.6,7.5,0.75,1.9,3.8,0.5,1.9,7.5,9.4,1.9,3.8,1.9,1.9,3.8,13.2,110.0,103,Forward,0.042224510813594233
Victor Oladipo,SG,27,IND,13,10,337,9.1,23.3,0.391,3.0,10.0,0.304,6.1,13.3,0.457,4.6,5.9,0.78,1.0,4.9,5.9,5.6,1.6,0.4,4.0,3.0,25.9,96.0,110,Guard,0.04016477857878476
Kelly Olynyk,C,28,MIA,59,6,1089,6.8,14.2,0.47600000000000003,3.6,8.3,0.43200000000000005,3.2,5.9,0.5379999999999999,3.1,3.7,0.8540000000000001,1.7,10.0,11.6,4.4,1.7,0.8,2.8,6.5,20.3,117.0,108,Center,0.042224510813594233
Miye Oni,SG,22,UTA,5,0,11,0.0,8.9,0.0,0.0,4.4,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,8.9,8.9,0.0,0.0,0.0,4.4,0.0,0.0,0.0,113,Guard,0.042224510813594233
Cedi Osman,SF,24,CLE,65,65,1910,6.8,15.5,0.43700000000000006,3.1,8.2,0.38299999999999995,3.6,7.3,0.49700000000000005,1.6,2.4,0.67,1.0,4.9,5.9,3.9,1.4,0.4,2.3,4.1,18.3,107.0,117,Forward,0.01956745623069001
Kelly Oubre Jr.,SF,24,PHO,56,55,1933,9.1,20.2,0.452,2.6,7.5,0.35200000000000004,6.5,12.7,0.511,4.7,6.0,0.78,1.6,7.2,8.8,2.1,1.7,1.0,2.0,4.7,25.6,109.0,111,Forward,0.026776519052523172
Tariq Owens,PF,24,PHO,3,0,15,3.2,15.8,0.2,0.0,6.3,0.0,3.2,9.5,0.33299999999999996,6.3,6.3,1.0,6.3,3.2,9.5,0.0,3.2,0.0,0.0,3.2,12.6,95.0,111,Forward,0.026776519052523172
Jeremy Pargo,PG,33,GSW,3,0,44,12.0,23.9,0.5,3.3,7.6,0.429,8.7,16.3,0.5329999999999999,0.0,1.1,0.0,1.1,2.2,3.3,8.7,1.1,0.0,4.4,8.7,27.2,103.0,119,Guard,0.015447991761071062
Jabari Parker,PF,24,TOT,33,23,852,10.9,21.8,0.499,1.7,6.3,0.267,9.2,15.5,0.594,3.0,4.1,0.743,3.0,7.7,10.7,3.3,2.3,0.8,3.3,5.1,26.5,106.0,113,Forward,0.03333333333333334
Chandler Parsons,SF,31,ATL,5,0,54,4.3,15.5,0.278,3.5,12.1,0.28600000000000003,0.9,3.5,0.25,0.0,0.0,0.0,0.9,5.2,6.0,2.6,3.5,0.9,2.6,2.6,12.1,77.0,112,Forward,0.02059732234809475
Eric Paschall,PF,23,GSW,60,26,1654,9.2,18.5,0.49700000000000005,1.1,3.7,0.287,8.1,14.8,0.55,4.7,6.1,0.774,2.4,5.6,8.0,3.7,0.9,0.4,2.7,3.6,24.2,110.0,117,Forward,0.015447991761071062
Anžejs Pasečņiks,C,24,WAS,24,0,405,6.5,12.2,0.528,0.0,0.2,0.0,6.5,12.0,0.5379999999999999,3.7,6.2,0.593,4.5,6.9,11.4,2.0,0.9,1.4,2.5,7.5,16.6,110.0,116,Center,0.024716786817713696
Patrick Patterson,PF,30,LAC,51,18,607,5.9,14.6,0.40399999999999997,4.3,11.0,0.387,1.6,3.6,0.457,2.1,2.6,0.794,2.3,7.1,9.4,2.4,0.5,0.2,1.4,3.2,18.2,118.0,111,Forward,0.04531410916580844
Justin Patton,C,22,OKC,5,0,24,8.1,20.3,0.4,2.0,8.1,0.25,6.1,12.2,0.5,0.0,0.0,0.0,2.0,8.1,10.1,4.1,0.0,0.0,4.1,8.1,18.3,86.0,113,Center,0.0411946446961895
Chris Paul,PG,34,OKC,63,63,2003,9.6,19.6,0.489,2.5,6.8,0.36200000000000004,7.1,12.8,0.557,5.5,6.1,0.9,0.5,7.0,7.5,10.4,2.4,0.2,3.3,3.4,27.1,121.0,108,Guard,0.0411946446961895
Elfrid Payton,PG,25,NYK,45,36,1246,7.5,17.2,0.439,0.5,2.7,0.203,7.0,14.5,0.48200000000000004,1.9,3.4,0.57,2.0,6.3,8.3,12.6,2.7,0.7,3.8,3.5,17.5,105.0,111,Guard,0.021627188465499485
Gary Payton II,PG,27,WAS,29,17,432,5.2,12.5,0.414,1.4,5.0,0.28300000000000003,3.8,7.6,0.5,0.4,0.9,0.5,2.8,5.8,8.6,5.2,3.6,0.8,2.2,5.8,12.2,103.0,112,Guard,0.024716786817713696
Norvel Pelle,C,26,PHI,20,0,178,4.9,9.6,0.514,0.0,0.0,0.0,4.9,9.6,0.514,1.6,3.3,0.5,4.4,12.0,16.4,1.9,0.3,6.8,3.5,10.6,11.5,96.0,101,Center,0.04016477857878476
Theo Pinson,SG,24,BRK,33,0,365,5.8,20.1,0.29,1.9,10.4,0.188,3.9,9.7,0.4,1.9,2.1,0.938,1.3,5.7,7.0,7.3,2.2,0.5,4.3,4.5,15.6,81.0,108,Guard,0.030895983522142123
Mason Plumlee,C,29,DEN,53,1,900,8.4,13.6,0.617,0.0,0.2,0.0,8.4,13.4,0.627,4.1,7.6,0.536,4.9,10.6,15.5,6.9,1.6,1.8,4.0,6.9,20.9,117.0,106,Center,0.044284243048403706
Jakob Poeltl,C,24,SAS,58,10,965,6.7,10.8,0.619,0.0,0.0,0.0,6.7,10.8,0.619,1.8,3.7,0.486,5.2,10.3,15.4,5.1,1.5,4.2,2.2,4.8,15.2,125.0,108,Center,0.027806385169927908
Vincent Poirier,C,26,BOS,21,0,114,6.8,14.0,0.485,0.4,0.8,0.5,6.4,13.2,0.484,2.5,3.0,0.857,4.2,10.2,14.4,3.0,0.8,2.5,2.5,9.8,16.5,111.0,105,Center,0.044284243048403706
Shamorie Ponds,PG,21,TOR,4,0,11,13.0,21.7,0.6,4.3,8.7,0.5,8.7,13.0,0.667,8.7,8.7,1.0,0.0,4.3,4.3,8.7,0.0,4.3,0.0,8.7,39.0,164.0,107,Guard,0.04737384140061792
Jordan Poole,SG,20,GSW,57,14,1274,6.3,18.9,0.33299999999999996,2.8,10.0,0.27899999999999997,3.5,8.9,0.392,3.6,4.5,0.7979999999999999,0.3,4.1,4.4,5.0,1.3,0.4,2.8,3.5,18.9,91.0,117,Guard,0.015447991761071062
Kevin Porter Jr.,SF,19,CLE,50,3,1162,7.8,17.6,0.442,2.2,6.6,0.335,5.6,11.0,0.506,3.1,4.2,0.723,0.9,5.9,6.8,4.6,1.9,0.6,3.9,5.7,20.9,99.0,115,Forward,0.01956745623069001
Michael Porter Jr.,PF,21,DEN,48,1,670,10.4,21.0,0.495,3.2,7.5,0.42200000000000004,7.2,13.5,0.536,2.4,3.2,0.767,3.9,10.8,14.7,2.6,1.5,1.4,2.6,5.5,26.4,114.0,107,Forward,0.044284243048403706
Otto Porter,SF,26,CHI,14,9,331,9.0,20.4,0.44299999999999995,3.5,9.0,0.387,5.5,11.4,0.48700000000000004,2.8,3.9,0.7040000000000001,1.9,5.1,7.0,3.6,2.2,0.9,1.6,4.5,24.3,112.0,110,Forward,0.02265705458290422
Bobby Portis,C,24,NYK,66,5,1393,9.3,20.6,0.45,2.3,6.5,0.358,6.9,14.1,0.493,2.5,3.3,0.763,2.8,9.0,11.8,3.4,1.1,0.6,2.6,3.8,23.3,107.0,113,Center,0.021627188465499485
Kristaps Porziņģis,PF,24,DAL,51,51,1597,10.3,24.5,0.42,3.8,10.9,0.349,6.5,13.6,0.47700000000000004,5.4,6.9,0.7759999999999999,2.7,11.9,14.6,2.7,1.1,3.2,2.5,4.8,29.7,109.0,106,Forward,0.0411946446961895
Dwight Powell,C,28,DAL,40,37,1061,6.7,10.5,0.638,0.5,1.8,0.256,6.2,8.7,0.716,3.4,5.1,0.667,3.4,6.9,10.4,2.7,1.6,1.0,1.6,4.7,17.2,134.0,110,Center,0.0411946446961895
Norman Powell,SG,26,TOR,44,23,1269,9.7,19.4,0.502,3.5,8.9,0.39799999999999996,6.2,10.5,0.589,4.1,4.9,0.838,0.9,5.2,6.1,2.9,2.1,0.6,2.4,3.5,27.1,117.0,106,Guard,0.04737384140061792
Chasson Randle,PG,26,GSW,3,0,40,0.0,4.8,0.0,0.0,2.4,0.0,0.0,2.4,0.0,6.0,7.2,0.833,0.0,2.4,2.4,6.0,2.4,0.0,0.0,3.6,6.0,113.0,116,Guard,0.015447991761071062
Julius Randle,PF,25,NYK,64,64,2080,10.8,23.5,0.46,1.5,5.4,0.27699999999999997,9.3,18.1,0.515,6.0,8.2,0.733,3.5,11.0,14.6,4.6,1.2,0.5,4.5,4.2,29.2,105.0,112,Forward,0.021627188465499485
Josh Reaves,SG,22,DAL,2,0,1,0.0,48.4,0.0,0.0,0.0,0.0,0.0,48.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,Guard,0.0411946446961895
Cam Reddish,SF,20,ATL,58,34,1551,6.4,16.6,0.384,2.5,7.5,0.332,3.9,9.1,0.428,3.0,3.8,0.802,1.1,5.4,6.5,2.6,1.9,0.8,2.9,4.0,18.3,95.0,115,Forward,0.02059732234809475
J.J. Redick,SG,35,NOP,54,35,1425,8.1,18.1,0.45,5.1,11.2,0.452,3.1,6.9,0.446,4.8,5.3,0.902,0.3,4.2,4.5,3.5,0.6,0.3,2.1,2.8,26.1,122.0,116,Guard,0.028836251287332648
Naz Reid,C,20,MIN,30,11,495,9.4,22.8,0.41200000000000003,3.0,9.1,0.33,6.4,13.7,0.466,3.5,5.0,0.698,3.2,8.4,11.6,3.3,1.8,2.1,2.1,7.8,25.2,105.0,110,Center,0.01956745623069001
Josh Richardson,SG,26,PHI,48,46,1474,8.1,18.9,0.429,2.3,7.1,0.327,5.8,11.9,0.489,3.3,4.2,0.789,1.2,4.1,5.3,4.9,1.5,1.1,3.0,4.0,21.9,103.0,110,Guard,0.04016477857878476
Austin Rivers,SG,27,HOU,60,4,1402,6.0,14.3,0.42100000000000004,2.8,7.7,0.358,3.3,6.6,0.495,2.0,3.0,0.667,0.8,3.9,4.7,3.2,1.4,0.3,1.2,3.7,16.8,112.0,113,Guard,0.0411946446961895
Duncan Robinson,SF,25,MIA,65,60,1949,7.2,15.4,0.467,6.1,13.6,0.44799999999999995,1.1,1.8,0.614,1.2,1.3,0.9059999999999999,0.2,5.1,5.3,2.3,0.9,0.4,1.5,4.5,21.7,122.0,113,Forward,0.042224510813594233
Glenn Robinson III,SF,26,TOT,60,52,1743,7.7,15.9,0.486,2.0,5.3,0.387,5.7,10.6,0.535,2.0,2.3,0.867,2.1,5.0,7.2,2.6,1.5,0.4,1.5,2.7,19.5,114.0,115,Forward,0.03333333333333334
Jerome Robinson,SG,22,TOT,55,4,748,4.7,13.6,0.34700000000000003,1.9,6.5,0.298,2.8,7.0,0.39299999999999996,1.3,1.8,0.69,0.6,6.1,6.7,4.1,1.4,0.9,2.1,5.2,12.6,91.0,111,Guard,0.03333333333333334
Justin Robinson,PG,22,WAS,9,0,49,4.8,11.4,0.41700000000000004,2.9,4.8,0.6,1.9,6.7,0.28600000000000003,0.0,0.0,0.0,1.0,3.8,4.8,6.7,0.0,1.0,2.9,1.9,12.4,105.0,121,Guard,0.024716786817713696
Mitchell Robinson,C,21,NYK,61,7,1412,8.7,11.8,0.742,0.0,0.0,0.0,8.7,11.8,0.742,2.9,5.1,0.568,6.4,8.3,14.8,1.2,1.8,4.1,1.3,6.7,20.3,144.0,107,Center,0.021627188465499485
Isaiah Roby,SF,21,OKC,3,0,11,0.0,4.4,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,8.9,8.9,0.0,0.0,0.0,4.4,4.4,0.0,0.0,113,Forward,0.0411946446961895
Rajon Rondo,PG,33,LAL,48,3,984,6.6,15.9,0.418,2.0,6.0,0.32799999999999996,4.6,9.8,0.473,1.3,2.0,0.659,1.1,5.8,6.9,11.6,1.9,0.1,4.4,2.8,16.5,103.0,108,Guard,0.05046343975283213
Derrick Rose,PG,31,DET,50,15,1298,14.0,28.5,0.49,1.7,5.6,0.306,12.3,23.0,0.535,4.6,5.3,0.871,1.0,3.6,4.6,10.5,1.5,0.6,4.8,1.9,34.3,109.0,115,Guard,0.02059732234809475
Terrence Ross,SG,28,ORL,63,0,1723,9.0,22.0,0.40700000000000003,4.6,12.9,0.35700000000000004,4.4,9.2,0.47700000000000004,3.9,4.6,0.845,0.4,5.4,5.8,2.1,2.0,0.6,1.8,2.7,26.3,106.0,110,Guard,0.030895983522142123
Terry Rozier,PG,25,CHO,63,63,2164,9.2,21.8,0.423,4.0,9.8,0.40700000000000003,5.2,12.0,0.436,3.8,4.4,0.8740000000000001,1.2,5.2,6.4,6.0,1.4,0.2,3.3,2.9,26.3,108.0,115,Guard,0.02368692070030896
Ricky Rubio,PG,29,PHO,57,57,1802,6.6,16.1,0.41200000000000003,1.7,4.9,0.35100000000000003,4.9,11.1,0.44,4.6,5.4,0.853,1.1,5.9,7.0,13.3,2.3,0.2,4.1,3.8,19.5,112.0,111,Guard,0.026776519052523172
D'Angelo Russell,PG,23,TOT,45,45,1452,11.8,27.7,0.426,5.2,14.1,0.36700000000000005,6.6,13.6,0.48700000000000004,5.3,6.5,0.809,0.6,5.2,5.8,9.3,1.6,0.4,4.8,2.8,34.0,106.0,115,Guard,0.03333333333333334
Domantas Sabonis,C,23,IND,62,62,2159,10.3,19.1,0.54,0.4,1.5,0.254,10.0,17.6,0.565,4.8,6.7,0.723,4.3,13.1,17.4,7.0,1.1,0.7,3.8,4.4,25.9,115.0,106,Center,0.04016477857878476
Luka Šamanić,PF,20,SAS,1,0,12,0.0,16.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,43.0,118,Forward,0.027806385169927908
JaKarr Sampson,SF,26,IND,26,10,340,6.9,11.6,0.593,0.3,1.9,0.154,6.6,9.7,0.6759999999999999,1.6,2.9,0.55,2.1,6.3,8.5,1.3,1.3,1.3,1.0,6.2,15.6,119.0,109,Forward,0.04016477857878476
Dario Šarić,PF,25,PHO,58,50,1441,7.1,15.4,0.462,2.4,7.0,0.341,4.7,8.4,0.563,2.6,3.1,0.8320000000000001,2.9,8.4,11.3,3.6,1.1,0.5,2.4,4.3,19.3,112.0,112,Forward,0.026776519052523172
Tomáš Satoranský,PG,28,CHI,65,64,1878,6.1,14.1,0.43,1.6,5.1,0.322,4.4,9.0,0.491,2.7,3.1,0.8759999999999999,1.9,4.6,6.5,9.1,2.1,0.2,3.3,3.5,16.5,111.0,112,Guard,0.02265705458290422
Admiral Schofield,SF,22,WAS,27,2,293,4.8,11.9,0.4,2.2,7.5,0.298,2.5,4.5,0.5710000000000001,1.4,2.1,0.6920000000000001,1.0,4.5,5.4,2.2,1.3,0.5,1.1,6.5,13.2,105.0,118,Forward,0.024716786817713696
Dennis Schröder,PG,26,OKC,63,1,1952,11.0,23.6,0.46799999999999997,3.0,8.0,0.381,8.0,15.6,0.512,4.8,5.7,0.8390000000000001,0.5,5.3,5.8,6.4,1.1,0.3,4.0,3.4,29.9,108.0,112,Guard,0.0411946446961895
Mike Scott,PF,31,PHI,63,10,1119,5.6,13.9,0.408,3.2,8.9,0.358,2.5,5.0,0.496,1.1,1.3,0.833,2.5,7.3,9.8,2.1,0.8,0.2,1.0,3.7,15.5,113.0,111,Forward,0.04016477857878476
Thabo Sefolosha,PF,35,HOU,41,0,436,3.9,9.7,0.40700000000000003,1.6,5.8,0.278,2.3,3.9,0.595,0.3,0.9,0.375,2.2,7.7,9.9,2.7,2.6,1.3,1.6,4.6,9.8,104.0,107,Forward,0.0411946446961895
Collin Sexton,SG,21,CLE,65,65,2143,11.6,24.7,0.47200000000000003,2.2,5.8,0.38,9.4,18.9,0.501,5.1,6.1,0.846,1.4,3.2,4.6,4.4,1.5,0.2,3.6,3.2,30.6,108.0,118,Guard,0.01956745623069001
Landry Shamet,SG,22,LAC,47,27,1294,5.3,12.8,0.41600000000000004,3.8,9.8,0.392,1.5,3.0,0.494,2.1,2.3,0.905,0.2,3.1,3.3,3.2,0.7,0.3,1.3,4.7,16.5,119.0,112,Guard,0.04531410916580844
Marial Shayok,SG,24,PHI,2,0,10,4.9,24.3,0.2,4.9,14.6,0.33299999999999996,0.0,9.7,0.0,0.0,0.0,0.0,0.0,14.6,14.6,4.9,0.0,0.0,4.9,0.0,14.6,61.0,110,Guard,0.04016477857878476
Iman Shumpert,SG,29,BRK,13,0,241,4.1,12.6,0.32799999999999996,1.6,6.5,0.242,2.6,6.1,0.419,0.8,1.4,0.5710000000000001,1.8,4.9,6.7,2.4,2.4,0.4,2.0,4.1,10.6,85.0,109,Guard,0.030895983522142123
Pascal Siakam,PF,25,TOR,53,53,1882,11.6,25.4,0.45899999999999996,2.9,8.1,0.359,8.7,17.2,0.506,5.6,7.0,0.8,1.4,8.7,10.1,4.8,1.3,1.2,3.3,3.8,31.8,108.0,105,Forward,0.04737384140061792
Chris Silva,PF,23,MIA,41,0,307,6.9,11.0,0.623,0.0,0.3,0.0,6.9,10.7,0.642,5.4,7.8,0.6940000000000001,8.6,8.8,17.4,3.3,1.4,2.9,4.9,12.7,19.1,120.0,106,Forward,0.042224510813594233
Ben Simmons,PG,23,PHI,54,54,1930,9.1,15.5,0.585,0.1,0.2,0.33299999999999996,9.0,15.4,0.588,4.5,7.1,0.627,2.7,7.9,10.6,11.1,2.9,0.8,4.8,4.4,22.7,116.0,105,Guard,0.04016477857878476
Anfernee Simons,SG,20,POR,65,4,1400,7.2,17.9,0.402,2.5,7.5,0.33799999999999997,4.7,10.4,0.44799999999999995,2.6,3.1,0.826,0.9,4.2,5.0,3.2,0.9,0.3,2.1,4.5,19.5,102.0,118,Guard,0.029866117404737384
Alen Smailagić,PF,19,GSW,14,0,139,6.9,13.8,0.5,1.0,4.5,0.231,5.9,9.3,0.63,5.5,6.5,0.8420000000000001,3.4,5.9,9.3,4.5,1.0,1.4,3.8,4.8,20.3,112.0,115,Forward,0.015447991761071062
Marcus Smart,SG,25,BOS,53,39,1721,6.7,17.8,0.38,3.6,10.3,0.348,3.1,7.4,0.424,3.0,3.6,0.835,1.1,4.6,5.7,7.2,2.4,0.8,2.5,4.0,20.1,110.0,107,Guard,0.044284243048403706
Dennis Smith Jr.,PG,22,NYK,34,3,537,6.5,19.1,0.341,1.5,4.9,0.29600000000000004,5.1,14.2,0.35700000000000004,2.4,4.8,0.509,1.9,5.2,7.1,8.9,2.5,0.7,5.3,5.9,17.0,84.0,112,Guard,0.021627188465499485
Ish Smith,PG,31,WAS,60,19,1570,7.8,17.3,0.451,1.6,4.5,0.36700000000000005,6.2,12.8,0.48,1.4,2.1,0.6859999999999999,0.8,4.8,5.6,8.5,1.5,0.7,2.3,2.5,18.6,109.0,117,Guard,0.024716786817713696
Zhaire Smith,SG,20,PHI,7,0,32,4.6,16.7,0.273,0.0,4.6,0.0,4.6,12.1,0.375,3.0,6.1,0.5,0.0,3.0,3.0,3.0,4.6,0.0,3.0,6.1,12.1,65.0,105,Guard,0.04016477857878476
Tony Snell,SF,28,DET,59,57,1641,5.1,11.5,0.445,3.1,7.6,0.402,2.0,3.8,0.531,1.0,1.0,1.0,0.3,3.1,3.3,3.8,1.0,0.4,0.9,3.0,14.2,121.0,117,Forward,0.02059732234809475
Omari Spellman,PF,22,GSW,49,3,886,6.9,15.9,0.431,2.3,5.9,0.391,4.5,10.0,0.45399999999999996,3.9,5.0,0.7929999999999999,4.2,7.7,11.8,2.5,1.8,1.3,2.9,3.4,20.0,107.0,112,Forward,0.015447991761071062
Max Strus,SG,23,CHI,2,0,6,16.1,24.1,0.667,0.0,8.0,0.0,16.1,16.1,1.0,8.0,8.0,1.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,40.1,153.0,119,Guard,0.02265705458290422
Edmond Sumner,PG,24,IND,25,2,345,6.6,15.7,0.423,1.4,5.4,0.263,5.2,10.3,0.507,1.4,2.1,0.667,1.4,3.8,5.2,5.5,2.1,1.1,2.7,4.9,16.1,98.0,109,Guard,0.04016477857878476
Caleb Swanigan,PF,22,TOT,27,1,288,4.6,7.8,0.596,0.0,0.3,0.0,4.6,7.5,0.622,1.5,2.8,0.529,4.5,12.1,16.6,5.1,0.5,1.2,6.1,10.3,10.8,94.0,112,Forward,0.03333333333333334
Jayson Tatum,PF,21,BOS,59,59,2043,11.8,26.3,0.44799999999999995,4.0,9.9,0.39799999999999996,7.9,16.4,0.479,5.3,6.6,0.8059999999999999,1.3,8.5,9.9,4.1,2.0,1.3,3.1,2.9,32.9,110.0,105,Forward,0.044284243048403706
Jeff Teague,PG,31,TOT,59,17,1464,6.8,15.5,0.436,1.4,3.7,0.368,5.4,11.8,0.457,5.5,6.3,0.873,0.9,3.7,4.5,9.8,1.4,0.6,3.7,3.4,20.4,112.0,116,Guard,0.03333333333333334
Garrett Temple,SG,33,BRK,55,31,1547,6.1,16.1,0.37799999999999995,3.4,10.6,0.324,2.6,5.5,0.483,1.7,2.2,0.767,0.9,5.0,5.8,4.3,1.3,0.8,1.7,2.9,17.3,105.0,110,Guard,0.030895983522142123
Daniel Theis,C,27,BOS,58,57,1382,7.6,13.4,0.565,0.9,2.8,0.321,6.6,10.5,0.631,2.8,3.7,0.764,4.5,8.7,13.3,3.3,1.2,2.6,1.7,7.0,18.9,130.0,105,Center,0.044284243048403706
Isaiah Thomas,PG,30,WAS,40,37,925,8.8,21.5,0.408,3.9,9.5,0.413,4.8,12.0,0.405,3.1,3.8,0.816,0.6,2.9,3.4,7.4,0.7,0.3,3.9,3.9,24.6,103.0,121,Guard,0.024716786817713696
Khyri Thomas,SG,23,DET,8,0,61,4.0,13.7,0.294,4.0,11.3,0.35700000000000004,0.0,2.4,0.0,1.6,3.2,0.5,0.8,0.0,0.8,2.4,2.4,0.0,2.4,7.3,13.7,88.0,116,Guard,0.02059732234809475
Matt Thomas,SG,25,TOR,33,0,321,8.0,16.5,0.486,5.2,11.1,0.467,2.8,5.4,0.528,1.0,1.5,0.7,1.0,6.1,7.1,2.5,1.2,0.0,1.8,4.6,22.3,119.0,108,Guard,0.04737384140061792
Tristan Thompson,C,28,CLE,57,51,1721,8.1,15.9,0.512,0.3,0.7,0.391,7.9,15.2,0.518,2.8,4.6,0.615,6.4,9.9,16.3,3.4,0.9,1.4,2.9,3.5,19.3,112.0,114,Center,0.01956745623069001
Matisse Thybulle,SG,22,PHI,57,13,1110,4.2,10.2,0.41,2.2,6.2,0.35200000000000004,2.0,4.0,0.5,1.1,1.8,0.61,1.5,2.2,3.8,3.1,3.5,1.8,2.0,5.3,11.7,103.0,105,Guard,0.04016477857878476
Anthony Tolliver,PF,34,TOT,47,9,732,3.5,10.1,0.348,2.5,7.9,0.322,1.0,2.2,0.441,1.2,1.6,0.72,2.0,6.7,8.7,2.1,1.0,0.7,2.0,4.2,10.7,100.0,115,Forward,0.03333333333333334
Juan Toscano-Anderson,SF,26,GSW,13,6,272,5.1,11.1,0.46,1.4,4.0,0.348,3.7,7.0,0.525,0.5,0.9,0.6,1.6,7.6,9.1,4.6,2.3,0.9,2.8,5.3,12.1,98.0,112,Forward,0.015447991761071062
Karl-Anthony Towns,C,24,MIN,35,35,1187,12.4,24.3,0.508,4.5,10.8,0.41200000000000003,7.9,13.5,0.586,7.0,8.8,0.7959999999999999,3.7,11.1,14.8,6.0,1.3,1.6,4.3,4.6,36.2,121.0,110,Center,0.01956745623069001
Gary Trent Jr.,SG,21,POR,53,8,1059,6.7,15.8,0.426,3.5,9.0,0.38799999999999996,3.2,6.7,0.47700000000000004,1.4,1.6,0.833,0.9,3.1,4.0,2.3,1.8,0.6,0.9,3.1,18.3,115.0,116,Guard,0.029866117404737384
Allonzo Trier,PG,24,NYK,24,1,291,8.5,17.7,0.48100000000000004,3.2,8.9,0.358,5.4,8.9,0.604,5.7,7.2,0.7909999999999999,1.0,3.8,4.9,4.7,0.5,0.7,3.7,4.9,25.9,115.0,118,Guard,0.021627188465499485
P.J. Tucker,PF,34,HOU,64,64,2203,3.4,7.9,0.433,2.0,5.4,0.37,1.4,2.5,0.573,0.8,0.9,0.841,2.2,7.1,9.3,2.1,1.5,0.7,1.4,4.4,9.6,117.0,111,Forward,0.0411946446961895
Rayjon Tucker,SG,22,UTA,14,0,78,5.0,11.9,0.42100000000000004,0.0,3.8,0.0,5.0,8.1,0.615,1.9,3.1,0.6,1.3,6.9,8.1,1.3,0.6,0.0,1.9,4.4,11.9,88.0,112,Guard,0.042224510813594233
Evan Turner,PG,31,ATL,19,0,251,4.6,12.4,0.373,0.0,0.9,0.0,4.6,11.5,0.40299999999999997,2.2,2.6,0.857,1.5,5.6,7.1,7.1,1.7,1.5,4.8,3.7,11.5,84.0,115,Guard,0.02059732234809475
Myles Turner,C,23,IND,55,55,1628,7.0,15.5,0.451,2.3,6.9,0.336,4.7,8.6,0.542,3.2,4.3,0.75,2.1,8.7,10.8,1.8,1.3,3.6,2.0,4.1,19.5,108.0,105,Center,0.04016477857878476
Jarrod Uthoff,SF,26,MEM,4,0,14,3.3,23.3,0.14300000000000002,0.0,13.3,0.0,3.3,10.0,0.33299999999999996,6.7,6.7,1.0,3.3,0.0,3.3,0.0,3.3,0.0,0.0,3.3,13.3,67.0,112,Forward,0.032955715756951595
Jonas Valančiūnas,C,27,MEM,62,62,1630,11.0,18.8,0.586,0.8,2.3,0.36700000000000005,10.2,16.6,0.616,3.5,4.8,0.732,5.4,14.5,19.9,3.1,0.7,2.0,3.1,4.6,26.4,120.0,107,Center,0.032955715756951595
Denzel Valentine,SF,26,CHI,36,5,488,9.6,23.4,0.409,4.5,13.5,0.336,5.0,9.9,0.51,0.6,0.8,0.75,0.9,6.4,7.3,4.2,2.6,0.6,2.6,5.0,24.3,100.0,109,Forward,0.02265705458290422
Jarred Vanderbilt,SF-PF,20,TOT,11,0,46,5.3,8.5,0.625,0.0,1.1,0.0,5.3,7.5,0.7140000000000001,2.1,2.1,1.0,3.2,6.4,9.6,2.1,3.2,1.1,7.5,6.4,12.8,81.0,107,Forward,0.03333333333333334
Fred VanVleet,PG,25,TOR,48,48,1719,8.0,19.5,0.409,3.6,9.4,0.38799999999999996,4.3,10.1,0.43,3.9,4.6,0.843,0.5,4.5,5.0,8.8,2.5,0.4,3.1,3.3,23.5,111.0,106,Guard,0.04737384140061792
Gabe Vincent,PG,23,MIA,6,0,42,4.7,22.1,0.21100000000000002,4.7,18.6,0.25,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,1.2,0.0,0.0,2.3,14.0,75.0,114,Guard,0.042224510813594233
Noah Vonleh,C-PF,24,TOT,33,1,364,6.4,11.4,0.562,0.4,1.9,0.2,6.0,9.5,0.635,3.1,3.8,0.8,4.7,11.0,15.7,3.5,1.4,0.8,2.7,4.9,16.2,120.0,111,Forward,0.03333333333333334
Nikola Vučević,C,29,ORL,54,54,1763,11.8,25.2,0.47,2.3,6.9,0.32899999999999996,9.6,18.3,0.523,3.2,4.0,0.7809999999999999,3.6,12.9,16.5,5.6,1.3,1.3,2.1,3.3,29.1,113.0,107,Center,0.030895983522142123
Dean Wade,PF,23,CLE,12,0,71,6.2,8.9,0.6920000000000001,1.4,2.7,0.5,4.8,6.2,0.778,0.0,0.7,0.0,2.1,11.0,13.0,1.4,1.4,2.7,2.1,5.5,13.7,122.0,111,Forward,0.01956745623069001
